Ссылка,Раздел,Уровень,Группа,Видимость,Родитель по полю раздел,min,max
subopts-for-2511m1656,Steiger 500,Level: 4,Group: 2,hidden,Steiger,0,0
subopts-for-2511m1656,Steiger 535,Level: 4,Group: 2,hidden,Steiger,0,0
subopts-for-2511m1656,Steiger 550,Level: 4,Group: 2,hidden,Steiger,0,0
subopts-for-2511m1656,Steiger 600,Level: 4,Group: 2,hidden,Steiger,0,0
subopts-for-2511m1656,Steiger 9370,Level: 4,Group: 2,hidden,Steiger,0,0
subopts-for-2511,Vestrum,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m40725,Vestrum 110,Level: 4,Group: 2,hidden,Vestrum,0,0
subopts-for-2511m40725,Vestrum 120,Level: 4,Group: 2,hidden,Vestrum,0,0
subopts-for-2511m40725,Vestrum 130,Level: 4,Group: 2,hidden,Vestrum,0,0
with-found-stat with-found-stat,Casella,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat,Caterpillar,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-2512,775,Level: 3,Group: 2,hidden,Caterpillar,0,0
subopts-for-2512,D series,Level: 3,Group: 2,hidden,Caterpillar,0,0
subopts-for-2512m1300,D6,Level: 4,Group: 2,hidden,D series,0,0
with-found-stat,Challenger,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-3344,CH,Level: 3,Group: 2,hidden,Challenger,0,0
subopts-for-3344,MT,Level: 3,Group: 2,hidden,Challenger,0,0
subopts-for-3344m1766,MT 665,Level: 4,Group: 2,hidden,MT,0,0
subopts-for-3344m1766,MT 675,Level: 4,Group: 2,hidden,MT,0,0
subopts-for-3344m1766,MT 685,Level: 4,Group: 2,hidden,MT,0,0
subopts-for-3344m1766,MT 765,Level: 4,Group: 2,hidden,MT,0,0
subopts-for-3344m1766,MT 775 E,Level: 4,Group: 2,hidden,MT,0,0
subopts-for-3344m1766,MT 865,Level: 4,Group: 2,hidden,MT,0,0
subopts-for-3344m1766,MT 875,Level: 4,Group: 2,hidden,MT,0,0
with-found-stat,Claas,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-2519,Ares,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m426,Ares 547,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 556,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 557,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 567,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 577,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 616,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 617,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 657,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 697,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 816,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519m426,Ares 826,Level: 4,Group: 2,hidden,Ares,0,0
